Austria:fraserdfki
Belgium:mapelli_elrc,kchoukri
Bulgaria:pennyl,Kanella
Croatia:pennyl,Kanella
Cyprus:pennyl,Kanella
Czech Republic:fraserdfki
Denmark:Tilde,roberts.rozis
Estonia:Tilde,roberts.rozis
Finland:Tilde,roberts.rozis
France:mapelli_elrc,kchoukri
Germany:fraserdfki
Greece:pennyl,Kanella
Hungary:fraserdfki
Iceland:Tilde,roberts.rozis
Ireland:mapelli_elrc,kchoukri
Italy:mapelli_elrc,kchoukri
Latvia:Tilde,roberts.rozis
Lithuania:Tilde,roberts.rozis
Luxembourg:fraserdfki
Malta:mapelli_elrc,kchoukri
Netherlands:fraserdfki
Norway:Tilde,roberts.rozis
Poland:pennyl,Kanella
Portugal:mapelli_elrc,kchoukri
Romania:pennyl,Kanella
Slovakia:pennyl,Kanella
Slovenia:pennyl,Kanella
Spain:mapelli_elrc,kchoukri
Sweden:Tilde,roberts.rozis
United Kingdom:mapelli_elrc,kchoukri
